fecha,apertura,maximo,minimo,cierre,volumen,openint
"2012-01-12","2827.00000","2857.1","2806.99","2819.98999","48795280","0"
"2012-01-13","2820.00000","2819.99","2735.03","2753.52002","38783112","0"
"2012-01-16","2754.85010","2755.59","2719.9","2754.57007","15500000","0"
"2012-01-17","2756.00000","2803.01","2755.84","2784.89990","30490396","0"
"2012-01-18","2783.00000","2862.24","2778.2","2862.23999","42094660","0"
"2012-01-19","2864.00000","2897.11","2864.36","2882.13989","44854976","0"
"2012-01-20","2882.00000","2893.36","2855.34","2867.59009","34945792","0"
"2012-01-23","2870.00000","2903.22","2869.91","2885.62012","41275516","0"
"2012-01-24","2879.00000","2898.35","2856.29","2898.35010","34138096","0"
"2012-01-25","2902.00000","2914.93","2871.27","2914.92993","41720052","0"
"2012-01-26","2918.00000","2976.83","2907.54","2908.69995","48310984","0"
"2012-01-27","2909.00000","2908.7","2824.68","2831.58008","48272496","0"
"2012-01-30","2831.00000","2830.58","2756.68","2770.83008","39779580","0"
"2012-01-31","2771.00000","2807.86","2758.73","2787.16992","28257476","0"
"2012-02-01","2788.00000","2849.3","2788.44","2837.06006","35767856","0"
"2012-02-02","2838.00000","2841.72","2809.59","2817.64990","30095184","0"
"2012-02-03","2819.00000","2853.93","2809.41","2810.57007","43967296","0"
"2012-02-06","2808.00000","2809.52","2777.44","2806.63989","32346058","0"
"2012-02-07","2803.00000","2804.24","2765.94","2769.56006","44653156","0"
"2012-02-08","2770.00000","2777.6","2691.98","2720.14990","95722848","0"
"2012-02-09","2729.00000","2757.38","2722.95","2749.00000","37148356","0"
"2012-02-10","2746.00000","2745.7","2687.94","2721.88989","37356696","0"
"2012-02-13","2732.00000","2761.27","2731.09","2757.51001","48537180","0"
"2012-02-14","2757.00000","2762.32","2716.48","2725.16992","42098440","0"
"2012-02-15","2737.00000","2751.91","2712.77","2725.46997","38749100","0"
"2012-02-16","2725.00000","2767.66","2710.58","2767.65991","48202148","0"
"2012-02-17","2777.00000","2811.91","2775.37","2798.83008","51948672","0"
"2012-02-22","2799.00000","2856.25","2799.47","2838.62012","57607992","0"
"2012-02-23","2839.00000","2858.07","2802.87","2818.09009","44224608","0"
"2012-02-24","2818.00000","2838.17","2754.43","2762.61011","48029440","0"
"2012-02-28","2747.00000","2747.3","2668.37","2682.09009","68031912","0"
"2012-02-29","2687.00000","2698.73","2633.24","2648.21997","64633864","0"
"2012-03-01","2649.00000","2751.99","2648.86","2748.75000","69290920","0"
"2012-03-02","2748.00000","2759.93","2738.74","2757.30005","53462688","0"
"2012-03-05","2757.00000","2767.62","2689.45","2690.58008","47497828","0"
"2012-03-06","2688.00000","2688.23","2630.39","2651.60010","52331528","0"
"2012-03-07","2654.00000","2688.45","2653.98","2684.18994","28624014","0"
"2012-03-08","2693.00000","2718.44","2669.54","2683.95996","58499440","0"
"2012-03-09","2685.00000","2688.46","2662.27","2665.19995","42783848","0"
"2012-03-12","2660.65991","2660.66","2626.04","2642.20996","42783848","0"
"2012-03-13","2642.20996","2711.94","2642.21","2711.93994","42783848","0"
"2012-03-14","2712.50000","2735.11","2696.09","2709.60010","42783848","0"
"2012-03-15","2710.00000","2744.09","2707.57","2744.09009","33315152","0"
"2012-03-16","2748.00000","2766.22","2747.59","2765.21997","45403380","0"
